Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Shows genuine concern for team members,Seeks input from team members,"Responds in a timely manner (emails, phone calls, etc.)","Treats people fairly, without showing favoritism",Protects confidentiality,Recognizes and rewards my individual contributions in a manner meaningful to me,"Supports a team environment by recognizing and rewarding collaboration, cooperation and activities contributing to others' success",Considers the impact of actions and decisions on others before implementing,Encourages others to express different ideas and perspectives,Is open to other perspectives and is willing to change their position when presented with compelling information,Open to negative and/or constructive feedback,Gives open and constructive feedback,Shows respect for others and their ideas,Lets me know how I am doing,Involves me in decision-making when appropriate,Sets a clear direction for our department/organization,Provides clear and consistent direction to me when I ask for guidance,"Encourages and supports my involvement in training and development activities, company activities and events",Allows for flexibility in how work is accomplished,Actions and behaviors are consistent with words,Is trustworthy,Creates an atmosphere of mutual trust,"Demonstrates honest, ethical behavior at all times",Is a role model for continuous improvement,Supports a customer service approach for both internal and external customers,Deals with issues that need to be addressed,"Provides a clear sense of purpose and direction, roles and responsibilities, for me individually and for our group team members",Communicates a clear vision with recognizable goals for the organization and staff,States expectations clearly and confirms understanding,Expects staff to be accountable and offers support,Translates organizational goals practically and meaningfully for staff at all levels of the organization,Makes and communicates decisions promptly,Involves others in planning actions,Delegates in a way that encourages others to have full ownership,Appropriately provides authority to others to make decisions,"Demonstrates accuracy, thoroughness and attention to detail in their work",Supports and demonstrates efficient management of personal stress levels,"Manages impending change, real or rumored, efficiently",Uses time constructively and efficiently,Helps people by listening without pre-judging,Has excellent relationships with MWSE team members regardless of position in the organization,Is accessible for communication,Encourages staff to communicate their differing opinions,Maintains a level of professionalism when handling difficult situations,Do you have any additional feedback?
,,,,,,,,,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response
118834256057,460151346,04/02/2025 07:25:30 AM,04/02/2025 07:28:31 AM,207.73.66.34,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,I am new and do not really have an understanding on who Shamer is or how he conducts himself at work yet. 
118834156940,460151346,04/02/2025 05:52:56 AM,04/02/2025 06:11:04 AM,198.108.155.98,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Just in observation as I walk through the building, I feel that each location is different when it comes to the office set up and when it comes to privacy, if there is a open office for our MWSE staff, I think that it should be look at based on available space which in return helps deliverance, effectiveness, and the privacy between the employee and the customer that their trying to serve. :)"
118833082685,460151346,04/01/2025 11:32:20 AM,04/01/2025 11:37:42 AM,198.108.155.98,,,,,4,3,3,3,3,3,3,3,4,3,6,3,3,3,6,4,6,3,6,3,3,3,3,3,4,4,3,4,3,3,4,3,6,6,3,6,3,3,6,3,3,4,3,6,
118833045543,460151346,04/01/2025 10:47:58 AM,04/01/2025 10:56:01 AM,207.74.181.58,,,,,3,3,3,3,4,3,3,6,4,3,3,3,3,3,6,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
118833013805,460151346,04/01/2025 10:17:24 AM,04/01/2025 10:22:23 AM,207.74.181.58,,,,,3,6,6,3,6,3,3,6,6,6,6,6,3,6,6,3,6,3,6,3,3,6,6,3,6,6,6,3,3,3,3,6,6,6,6,6,6,6,3,3,3,6,3,6,none
118832935631,460151346,04/01/2025 08:50:50 AM,04/01/2025 08:54:03 AM,198.108.155.98,,,,,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,5,4,5,4,4,4,4,4,5,5,5,5,5,4,5,4,4,5,4,5,5,5,5,4,
118832935312,460151346,04/01/2025 08:47:09 AM,04/01/2025 08:53:41 AM,198.108.155.98,,,,,3,3,5,5,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,
118830341567,460151346,03/28/2025 05:07:27 AM,03/28/2025 05:11:06 AM,198.108.155.98,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
118828795649,460151346,03/26/2025 07:53:00 AM,03/26/2025 07:57:17 AM,207.74.181.58,,,,,4,3,3,3,4,6,4,4,4,3,3,3,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,5,3,5,5,4,4,4,N/A
118828678727,460151346,03/26/2025 05:25:05 AM,03/26/2025 05:34:20 AM,207.73.66.34,,,,,5,5,5,5,5,6,5,5,5,5,5,5,5,6,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,5,5,5,5,I enjoy working for Shamar and appreciate the fact that he makes an effort to personally touch base with every employee when visiting our center. He is always so high energy and encouraging.   
118828053707,460151346,03/25/2025 10:08:07 AM,03/25/2025 10:15:05 AM,98.243.189.155,,,,,3,2,2,2,3,1,1,2,2,1,1,2,3,3,2,1,2,2,3,3,2,2,3,2,3,3,2,2,3,2,3,2,3,3,3,2,2,3,6,2,1,3,3,4,
118827988008,460151346,03/25/2025 09:01:44 AM,03/25/2025 09:04:41 AM,68.41.230.51,,,,,4,4,3,5,5,3,3,3,3,3,4,5,5,4,5,3,3,4,5,5,5,5,5,5,4,5,4,5,4,4,3,3,4,3,3,3,3,3,3,3,3,5,5,5,
118827985434,460151346,03/25/2025 08:26:40 AM,03/25/2025 09:02:18 AM,207.73.66.34,,,,,4,3,3,3,4,4,4,2,3,3,2,3,4,4,4,2,2,4,4,4,4,4,4,4,3,3,3,2,2,4,4,2,3,3,3,2,3,4,6,6,4,4,4,4,Clarity of intent for meetings is sometimes misunderstood. 
118827947013,460151346,03/25/2025 08:16:37 AM,03/25/2025 08:24:41 AM,207.74.181.58,,,,,4,4,4,4,6,4,5,4,3,6,4,4,5,3,4,4,6,4,4,5,6,3,5,3,5,3,3,5,4,6,5,3,5,4,4,4,5,5,4,4,5,5,3,6,Shamar walks the talk. Very positive and caring.
118827936341,460151346,03/25/2025 08:06:10 AM,03/25/2025 08:13:45 AM,198.109.195.34,,,,,3,3,3,3,3,6,3,3,3,6,6,6,6,6,6,3,6,6,6,3,3,3,6,3,3,3,6,3,6,3,6,3,6,6,6,6,6,3,6,6,6,3,3,3,"I dont have alot of one on one dealing with Shamar so alot of the questions i said ""N/A"" to if I couldn't verify it."
118827896893,460151346,03/25/2025 07:25:59 AM,03/25/2025 07:31:32 AM,198.109.195.34,,,,,5,5,4,4,4,3,5,5,5,3,3,3,3,,6,5,6,3,3,4,4,4,4,4,5,5,5,5,4,4,4,4,6,6,6,6,6,4,6,4,5,4,4,5,No
118827896828,460151346,03/25/2025 07:10:17 AM,03/25/2025 07:31:28 AM,198.109.195.34,,,,,5,4,4,4,5,4,4,5,5,4,4,4,5,4,4,4,4,5,4,4,5,5,5,5,5,4,4,4,4,4,5,5,4,4,4,4,5,5,5,4,5,5,4,5,"Shamar has been a model leader. His transparency and authenticity is greatly appreciated as MWSE navigates changing political landscapes, target goals, and new initiatives. Despite his large responsibilities, he makes a conscious effort to maintain and build relationships with the entire MWSE team in every county. That's an attribute I admire in our leadership."
118827896373,460151346,03/25/2025 07:27:08 AM,03/25/2025 07:30:56 AM,198.109.195.34,,,,,4,4,4,5,5,4,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,5,5,5,4,4,4,5,5,4,5,5,4,4,4,4,4,4,4,5,5,4,4,5,N/A
118827895833,460151346,03/25/2025 07:26:19 AM,03/25/2025 07:30:21 AM,198.109.180.114,,,,,4,3,6,4,6,4,4,4,4,3,6,3,4,3,6,3,6,3,6,4,4,4,4,3,3,4,3,4,3,3,2,3,6,3,3,3,3,3,6,4,4,3,3,3,
118827889625,460151346,03/25/2025 07:16:56 AM,03/25/2025 07:23:30 AM,198.109.195.34,,,,,5,3,6,4,4,5,4,4,5,3,3,3,3,4,6,5,3,3,3,4,5,5,5,5,5,5,4,5,5,5,5,5,3,3,4,3,3,3,3,3,5,5,4,4,
118827883275,460151346,03/25/2025 07:13:45 AM,03/25/2025 07:16:42 AM,198.109.195.34,,,,,4,4,4,3,5,3,4,4,4,3,3,4,4,3,3,4,4,4,3,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,5,5,
118827882227,460151346,03/25/2025 07:11:09 AM,03/25/2025 07:15:37 AM,198.109.180.114,,,,,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,
118827115564,460151346,03/24/2025 08:15:53 AM,03/24/2025 08:20:42 AM,198.108.155.98,,,,,5,4,5,4,4,6,4,4,4,,4,6,5,5,6,5,4,5,5,5,5,5,5,5,4,4,6,5,4,4,4,4,6,6,6,6,5,4,6,5,5,5,5,5,
118827004311,460151346,03/24/2025 05:39:57 AM,03/24/2025 06:03:46 AM,198.108.155.98,,,,,4,3,4,3,3,4,3,3,4,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,4,4,
118825553765,460151346,03/21/2025 07:37:48 AM,03/21/2025 07:53:16 AM,198.109.195.34,,,,,5,2,6,5,5,5,3,4,5,5,5,6,5,5,6,3,6,4,2,4,4,4,5,2,4,2,6,5,6,5,5,5,6,6,6,6,6,5,6,5,5,2,3,6,
118823827821,460151346,03/19/2025 06:26:16 AM,03/19/2025 06:36:21 AM,207.73.66.34,,,,,4,4,3,4,5,5,5,4,4,4,4,4,5,4,4,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,5,4,4,5,Go Blue!!
118823824838,460151346,03/19/2025 06:26:39 AM,03/19/2025 06:32:14 AM,207.73.66.34,,,,,5,5,3,3,6,3,4,3,4,3,3,4,4,6,6,4,6,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,6,3,3,3,4,6,4,3,3,3,4,
118823422571,460151346,03/18/2025 04:13:13 PM,03/18/2025 04:16:59 PM,68.37.63.240,,,,,3,3,6,6,6,5,4,6,6,3,6,3,3,4,6,6,6,6,6,6,3,3,3,6,4,3,6,6,6,3,3,6,3,3,3,6,3,3,6,3,4,3,3,4,
118823342216,460151346,03/18/2025 02:06:27 PM,03/18/2025 02:10:00 PM,198.108.155.98,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
118823088236,460151346,03/18/2025 09:11:37 AM,03/18/2025 09:22:35 AM,198.108.155.98,,,,,1,3,2,3,2,2,2,1,3,2,3,3,3,3,2,3,2,3,3,2,2,2,3,2,3,2,3,2,2,3,2,2,2,2,3,2,2,2,6,2,2,3,3,2,
118823023390,460151346,03/18/2025 07:47:21 AM,03/18/2025 08:16:38 AM,198.108.155.98,,,,,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,5,4,5,5,
118822940984,460151346,03/18/2025 06:47:55 AM,03/18/2025 06:52:00 AM,107.4.97.11,,,,,3,3,1,2,3,3,6,6,6,6,6,3,3,6,6,3,6,3,6,6,6,6,6,2,3,6,6,3,6,6,3,6,6,6,6,6,6,2,6,6,6,6,6,6,
118822866722,460151346,03/18/2025 05:29:54 AM,03/18/2025 05:33:54 AM,198.108.155.98,,,,,5,4,4,4,5,3,4,6,3,6,6,6,3,3,3,4,6,4,6,4,4,4,4,3,4,3,3,6,3,3,6,3,3,3,3,6,4,3,6,6,4,4,4,6,
