Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Shows genuine concern for team members,Seeks input from team members,"Responds in a timely manner (emails, phone calls, etc.)","Treats people fairly, without showing favoritism",Protects confidentiality,Recognizes and rewards my individual contributions in a manner meaningful to me,"Supports a team environment by recognizing and rewarding collaboration, cooperation and activities contributing to others' success",Considers the impact of actions and decisions on others before implementing,Encourages others to express different ideas and perspectives,Is open to other perspectives and is willing to change their position when presented with compelling information,Open to negative and/or constructive feedback,Gives open and constructive feedback,Shows respect for others and their ideas,Lets me know how I am doing,Involves me in decision-making when appropriate,Sets a clear direction for our department/organization,Provides clear and consistent direction to me when I ask for guidance,"Encourages and supports my involvement in training and development activities, company activities and events",Allows for flexibility in how work is accomplished,Actions and behaviors are consistent with words,Is trustworthy,Creates an atmosphere of mutual trust,"Demonstrates honest, ethical behavior at all times",Is a role model for continuous improvement,Supports a customer service approach for both internal and external customers,Deals with issues that need to be addressed,"Provides a clear sense of purpose and direction, roles and responsibilities, for me individually and for our group team members",Communicates a clear vision with recognizable goals for the organization and staff,States expectations clearly and confirms understanding,Expects staff to be accountable and offers support,Translates organizational goals practically and meaningfully for staff at all levels of the organization,Makes and communicates decisions promptly,Involves others in planning actions,Delegates in a way that encourages others to have full ownership,Appropriately provides authority to others to make decisions,"Demonstrates accuracy, thoroughness and attention to detail in their work",Supports and demonstrates efficient management of personal stress levels,"Manages impending change, real or rumored, efficiently",Uses time constructively and efficiently,Helps people by listening without pre-judging,Has excellent relationships with MWSE team members regardless of position in the organization,Is accessible for communication,Encourages staff to communicate their differing opinions,Maintains a level of professionalism when handling difficult situations,Do you have any additional feedback?
,,,,,,,,,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response
118841940513,460151298,04/11/2025 01:46:21 PM,04/11/2025 01:48:49 PM,198.108.155.98,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No
118841608791,460151298,04/11/2025 06:18:49 AM,04/11/2025 06:22:29 AM,68.49.168.50,,,,,5,4,4,5,5,5,5,5,5,4,4,5,5,4,4,5,4,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,5,4,5,5,5,5,4,5,5,5,4,5,
118838211520,460151298,04/07/2025 10:34:57 AM,04/07/2025 10:39:33 AM,207.73.66.34,,,,,5,4,3,5,5,5,5,4,5,4,4,4,4,4,4,4,3,4,5,4,5,5,5,4,5,4,4,3,4,4,4,3,4,4,4,4,4,4,4,5,5,5,4,4,
118838094849,460151298,04/07/2025 07:58:36 AM,04/07/2025 08:39:51 AM,64.112.211.3,,,,,3,2,1,2,3,2,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,3,3,3,2,2,2,2,2,3,3,2,2,2,2,3,3,It would help to have a text box available for each question to allow explanation. A ranked scale doesn't allow us to provide the why for our answer. 
118834356995,460151298,04/02/2025 08:42:14 AM,04/02/2025 08:48:37 AM,207.74.181.58,,,,,5,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,6,3,3,3,4,3,
118832932384,460151298,04/01/2025 08:46:04 AM,04/01/2025 08:50:22 AM,198.109.180.114,,,,,5,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,
118832931436,460151298,04/01/2025 08:46:28 AM,04/01/2025 08:49:15 AM,198.108.155.98,,,,,5,5,5,5,5,5,4,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
118827890877,460151298,03/25/2025 07:10:15 AM,03/25/2025 07:24:58 AM,198.109.195.34,,,,,4,4,2,4,4,3,4,3,5,3,3,3,5,4,3,3,3,4,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,4,
118823231489,460151298,03/18/2025 11:51:55 AM,03/18/2025 11:57:02 AM,198.109.180.114,,,,,1,2,1,3,3,2,2,1,2,1,1,2,2,1,2,1,3,4,1,1,1,1,2,2,3,1,1,1,1,1,2,1,2,2,3,1,2,3,1,3,3,3,3,2,This is a difficult way to rate someone accurately. Questions could be more encompassing as well. 
118822166097,460151298,03/17/2025 09:50:42 AM,03/17/2025 09:54:12 AM,207.73.66.34,,,,,3,3,3,4,4,3,3,3,3,3,4,4,3,3,4,3,3,4,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,
